,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,total_spending,total_income,adjusted_spending,overspending,savings_rate,financial_stress
0,19,Non-binary,Freshman,Psychology,3082.8,3853.5,5939,709,296,123,188,41,78,134,127,72,Credit/Debit Card,7707,6936.3,6936.3,770.6999999999998,0.0,True
1,24,Female,Junior,Economics,2702.4,3378.0,4908,557,365,85,252,74,92,226,129,68,Credit/Debit Card,6756,6080.4,6080.4,675.6000000000004,0.0,True
2,24,Non-binary,Junior,Economics,1924.0,2405.0,3051,666,220,137,99,130,23,239,112,133,Cash,4810,4329.0,4329.0,481.0,0.0,True
3,23,Female,Senior,Computer Science,2666.0,3332.5,4935,652,289,114,223,99,30,163,105,55,Mobile Payment App,6665,5998.5,5998.5,666.5,0.0,True
4,20,Female,Senior,Computer Science,3496.7999999999997,3496.7999999999997,3887,825,372,168,194,48,71,88,71,104,Credit/Debit Card,5828,6993.599999999999,5828.0,0.0,0.1666666666666666,False
5,25,Non-binary,Sophomore,Computer Science,1902.0,2377.5,3151,413,386,122,131,73,38,234,108,99,Mobile Payment App,4755,4279.5,4279.5,475.5,0.0,True
6,23,Female,Freshman,Engineering,2751.2000000000003,3439.0,4973,812,398,101,213,21,38,157,117,48,Credit/Debit Card,6878,6190.200000000001,6190.200000000001,687.7999999999993,0.0,True
7,23,Female,Junior,Economics,2218.4,2773.0,3966,571,269,92,251,37,90,152,56,62,Mobile Payment App,5546,4991.4,4991.4,554.6000000000004,0.0,True
8,22,Non-binary,Senior,Computer Science,3008.0,3760.0,5638,599,354,82,155,123,41,162,172,194,Credit/Debit Card,7520,6768.0,6768.0,752.0,0.0,True
9,18,Female,Junior,Computer Science,2276.0,2845.0,3977,626,249,117,123,51,74,243,34,196,Mobile Payment App,5690,5121.0,5121.0,569.0,0.0,True
10,23,Male,Junior,Biology,2306.0,2882.5,4093,660,262,58,183,98,21,274,66,50,Credit/Debit Card,5765,5188.5,5188.5,576.5,0.0,True
11,25,Male,Freshman,Engineering,2882.0,3602.5,5138,734,243,200,228,57,57,209,193,146,Credit/Debit Card,7205,6484.5,6484.5,720.5,0.0,True
12,21,Male,Sophomore,Economics,2671.6000000000004,3339.5,4863,894,280,120,126,41,50,78,113,114,Credit/Debit Card,6679,6011.1,6011.1,667.8999999999996,0.0,True
13,19,Female,Junior,Biology,2763.6000000000004,3454.5,5201,626,234,50,274,20,77,125,199,103,Mobile Payment App,6909,6218.1,6218.1,690.8999999999996,0.0,True
14,24,Non-binary,Freshman,Economics,2726.0,3407.5,5301,657,151,63,92,124,64,196,50,117,Cash,6815,6133.5,6133.5,681.5,0.0,True
